Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
CPP,35.170204,-120.740685,0.5,CP080815,2008-08-15T19:00:00Z,14.9,NaN,NaN,100.0,4.2,4.185,4.1925,1.215,1.6,1.4075,NaN,NaN,NaN,NaN,NaN,NaN,250.0,0.0,NaN,NaN,25.0,3198.8298,9596.489,0.0,0.0,30922.021,0.0,3198.8298,1066.2766,1066.2766,1066.2766,30922.021,26656.914,107693.94
CPP,35.170204,-120.740685,0.5,CP080819,2008-08-19T19:00:00Z,15.5,NaN,NaN,100.0,8.15,7.33,7.74,2.085,1.54,1.8125,NaN,NaN,NaN,NaN,NaN,NaN,265.0,0.0,NaN,NaN,25.0,2132.5532,0.0,0.0,1066.2766,21325.531,24524.361,41584.785,0.0,0.0,0.0,0.0,0.0,90633.51
CPP,35.170204,-120.740685,0.5,CP080826,2008-08-26T19:00:00Z,17.8,NaN,NaN,100.0,7.515,7.26,7.3875,0.94,0.95,0.945,NaN,NaN,NaN,NaN,NaN,NaN,250.0,0.0,NaN,NaN,25.0,0.0,2132.5532,0.0,0.0,8530.213,38385.957,8530.213,2132.5532,91699.79,6397.6597,187664.67,6397.6597,351871.28
CPP,35.170204,-120.740685,0.5,CP080902,2008-09-02T19:00:00Z,16.0,NaN,NaN,100.0,14.13,10.625,12.3775,2.465,1.805,2.135,NaN,NaN,NaN,NaN,NaN,NaN,250.0,0.0,NaN,NaN,25.0,12795.319,0.0,6397.6597,4265.1064,379594.47,0.0,0.0,14927.872,95964.89,0.0,181267.02,83169.57,778381.9
CPP,35.170204,-120.740685,0.5,CP080908,2008-09-08T19:00:00Z,16.3,NaN,NaN,100.0,23.965,24.46,24.2125,1.99,2.205,2.0975,NaN,NaN,NaN,NaN,NaN,NaN,175.0,0.0,NaN,NaN,25.0,4265.1064,10662.766,14927.872,2132.5532,292159.78,17060.426,4265.1064,10662.766,172736.81,6397.6597,12795.319,74639.36,622705.5
CPP,35.170204,-120.740685,0.5,CP080916,2008-09-16T19:00:00Z,15.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.946183,115.780785,0.17015447,0.0,35.60604,-0.17015447,95.0,0.0,NaN,NaN,25.0,17060.426,12795.319,14927.872,0.0,27723.191,0.0,0.0,2132.5532,1684717.0,0.0,17060.426,34120.85,1810537.6
CPP,35.170204,-120.740685,0.5,CP080922,2008-09-22T19:00:00Z,14.1,NaN,NaN,100.0,31.505,26.16,28.8325,-0.215,-0.325,-0.27,1.335776,90.36936,0.73540276,6.770835,0.20389754,6.0354323,150.0,0.0,NaN,NaN,25.0,4265.1064,0.0,2132.5532,0.0,8530.213,21325.531,6397.6597,0.0,422245.53,0.0,76771.914,29855.744,571524.25
CPP,35.170204,-120.740685,0.5,CP080929,2008-09-29T19:00:00Z,15.3,NaN,NaN,100.0,28.915,21.09,25.0025,1.285,3.35,2.3175,0.264792,74.67448,0.3158834,1.1066146,0.62319964,0.7907312,150.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,0.0,21325.531,0.0,0.0,36253.402,108760.21,0.0,2132.5532,10662.766,179134.47
CPP,35.170204,-120.740685,0.5,CP081002,2008-10-02T19:00:00Z,16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,0.0,0.0,2132.5532,0.0,10662.766,0.0,0.0,17060.426,83169.57,0.0,0.0,29855.744,142881.06
CPP,35.170204,-120.740685,0.5,CP081006,2008-10-06T19:00:00Z,14.3,NaN,NaN,100.0,9.87,10.15,10.01,0.035,0.305,0.17,0.530226,70.73152,0.22792643,2.228965,1.1854922,2.0010386,150.0,0.0,NaN,NaN,25.0,2132.5532,0.0,4265.1064,0.0,49048.723,0.0,0.0,2132.5532,46916.168,0.0,6397.6597,23458.084,134350.84
CPP,35.170204,-120.740685,0.5,CP081009,2008-10-09T19:00:00Z,14.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,2132.5532,0.0,0.0,0.0,2132.5532,0.0,0.0,6397.6597,36253.402,0.0,0.0,21325.531,68241.7
CPP,35.170204,-120.740685,0.5,CP081013,2008-10-13T19:00:00Z,12.3,NaN,NaN,100.0,1.39,1.4,1.395,0.47,0.365,0.4175,1.786769,97.70248,0.51274383,13.160058,6.836946,12.647314,250.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,0.0,4265.1064,0.0,0.0,0.0,4265.1064,0.0,8530.213,4265.1064,21325.531
CPP,35.170204,-120.740685,0.5,CP081016,2008-10-16T19:00:00Z,13.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,0.0,533.0767,2132.307,0.0,5330.767,0.0,0.0,0.0,159923.02,0.0,0.0,3198.4604,171117.62
CPP,35.170204,-120.740685,0.5,CP081020,2008-10-20T19:00:00Z,13.6,NaN,NaN,100.0,68.87,65.55,67.21,10.875,9.495,10.185,1.194296,70.803406,0.861519,5.8866963,1.9743387,5.0251775,75.0,0.0,NaN,NaN,25.0,12795.319,0.0,2132.5532,0.0,49048.723,0.0,0.0,2132.5532,695212.3,0.0,8530.213,49048.723,818900.44
CPP,35.170204,-120.740685,0.5,CP081023,2008-10-23T19:00:00Z,13.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,0.0,8530.213,2132.5532,0.0,4265.1064,0.0,0.0,0.0,74639.36,0.0,2132.5532,4265.1064,95964.89
CPP,35.170204,-120.740685,0.5,CP081027,2008-10-27T19:00:00Z,13.9,NaN,NaN,100.0,17.24,15.95,16.595,1.94,1.715,1.8275,0.8266541,65.86568,0.332173,5.0928125,2.0060241,4.7606397,150.0,0.0,NaN,NaN,25.0,0.0,6397.6597,4265.1064,0.0,8530.213,0.0,0.0,0.0,61844.043,0.0,0.0,25590.639,106627.66
CPP,35.170204,-120.740685,0.5,CP081030,2008-10-30T19:00:00Z,14.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,4265.1064,0.0,2132.5532,0.0,14927.872,0.0,0.0,0.0,49048.723,0.0,2132.5532,31988.297,104495.1
CPP,35.170204,-120.740685,0.5,CP081103,2008-11-03T20:00:00Z,14.3,NaN,NaN,100.0,17.28,16.185,16.7325,2.265,2.145,2.205,0.6264163,78.09164,0.363487,3.9170568,1.995916,3.5535698,200.0,0.047,NaN,NaN,25.0,4265.1064,0.0,6397.6597,0.0,19192.979,0.0,0.0,2132.5532,27723.191,0.0,2132.5532,42651.062,104495.1
CPP,35.170204,-120.740685,0.5,CP081106,2008-11-06T20:00:00Z,14.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,2132.5532,2132.5532,0.0,0.0,17060.426,0.0,0.0,2132.5532,36253.402,0.0,0.0,4265.1064,63976.594
CPP,35.170204,-120.740685,0.5,CP081110,2008-11-10T20:00:00Z,13.7,NaN,NaN,100.0,2.1,1.99,2.045,0.85,0.89,0.87,1.0304189,58.25415,0.50236,6.1744614,3.3625605,5.6721015,250.0,0.0,NaN,NaN,25.0,0.0,2132.5532,0.0,0.0,0.0,0.0,0.0,0.0,4265.1064,0.0,2132.5532,10662.766,19192.979
CPP,35.170204,-120.740685,0.5,CP081113,2008-11-13T20:00:00Z,12.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4265.1064,0.0,0.0,0.0,0.0,4265.1064
