Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
HAB_SCW,36.958,-122.017,NaN,WW100511SC,2011-10-05T13:00:00Z,15.1,NaN,NaN,25.0,5.27,5.16,5.21,NaN,NaN,NaN,0.7,9.8,NaN,NaN,1.76,2.0,250.0,0.915077,NaN,NaN,NaN,NaN,880.0,980.0,NaN,NaN,NaN,47200.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_SCW,36.958,-122.017,NaN,WW101211SC,2011-10-12T12:55:00Z,15.4,NaN,NaN,25.0,3.52,3.38,3.45,NaN,NaN,NaN,1.07,18.54,NaN,NaN,3.85,2.51,250.0,0.060326,NaN,NaN,NaN,NaN,0.0,160.0,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_SCW,36.958,-122.017,NaN,WW101911SC,2011-10-19T13:09:00Z,17.2,NaN,NaN,25.0,12.94,13.15,13.05,NaN,NaN,NaN,0.85,16.35,NaN,NaN,1.74,5.81,250.0,0.261097,NaN,NaN,NaN,NaN,20.0,18900.0,NaN,NaN,NaN,13450.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_SCW,36.958,-122.017,NaN,WW102611SC,2011-10-26T14:10:00Z,13.5,NaN,NaN,25.0,5.97,5.82,5.9,NaN,NaN,NaN,1.37,17.21,NaN,NaN,4.55,5.86,250.0,0.05231,NaN,NaN,NaN,NaN,760.0,0.0,NaN,NaN,NaN,900.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_SCW,36.958,-122.017,NaN,WW110211SC,2011-11-02T13:35:00Z,12.3,NaN,NaN,25.0,4.49,4.38,4.43,NaN,NaN,NaN,1.49,21.63,NaN,NaN,3.77,5.42,250.0,0.046524,NaN,NaN,NaN,NaN,50.0,0.0,NaN,NaN,NaN,2600.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_SCW,36.958,-122.017,NaN,WW110911SC,2011-11-09T16:50:00Z,12.1,NaN,NaN,25.0,14.14,13.72,13.93,NaN,NaN,NaN,1.11,19.68,NaN,NaN,1.56,6.13,250.0,3.81466,NaN,NaN,NaN,NaN,1490.0,130.0,NaN,NaN,NaN,153850.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_SCW,36.958,-122.017,NaN,WW111611SC,2011-11-16T16:06:00Z,11.3,NaN,NaN,25.0,47.82,49.29,48.55,NaN,NaN,NaN,1.45,19.45,NaN,NaN,0.24,0.49,100.0,0.0,NaN,NaN,NaN,NaN,7067.0,83.0,NaN,NaN,NaN,250.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_SCW,36.958,-122.017,NaN,WW112311SC,2011-11-23T15:45:00Z,11.3,NaN,NaN,25.0,48.86,56.84,52.85,NaN,NaN,NaN,0.75,15.61,NaN,NaN,0.11,0.07,100.0,3.12774,NaN,NaN,NaN,NaN,2360.0,100.0,NaN,NaN,NaN,81200.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_SCW,36.958,-122.017,NaN,WW113011SC,2011-11-30T15:45:00Z,11.5,NaN,NaN,25.0,51.59,54.95,53.27,NaN,NaN,NaN,0.65,18.22,NaN,NaN,0.13,0.21,100.0,0.797935,NaN,NaN,NaN,NaN,820.0,80.0,NaN,NaN,NaN,25350.0,NaN,NaN,NaN,NaN,NaN,NaN
