Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
SW,34.408043,-119.68485,1.0,20080630.0,2008-06-30T16:30:00Z,18.0,NaN,NaN,188.0,12.143,NaN,12.143,2.048,NaN,2.048,0.851,6.932,0.219,0.329,1.086,0.11,200.0,0.05,NaN,NaN,50.0,0.0,0.0,7000.0,1000.0,470000.0,55000.0,345000.0,10000.0,0.0,NaN,NaN,NaN,888000.0
SW,34.408043,-119.68485,1.0,20080707.0,2008-07-07T16:30:00Z,18.0,NaN,NaN,188.0,4.212,NaN,4.212,1.251,NaN,1.251,1.202,10.673,0.313,0.319,0.986,0.006,200.0,0.05,NaN,NaN,50.0,0.0,0.0,700.0,800.0,23000.0,2000.0,59000.0,62000.0,0.0,NaN,NaN,NaN,147500.0
SW,34.408043,-119.68485,1.0,20080714.0,2008-07-14T17:15:00Z,18.1,NaN,NaN,188.0,1.917,NaN,1.917,0.748,NaN,0.748,0.454,5.894,0.0,0.341,1.26,0.341,200.0,0.0,NaN,NaN,50.0,500.0,0.0,300.0,0.0,22000.0,60000.0,200000.0,500.0,0.0,NaN,NaN,NaN,283300.0
SW,34.408043,-119.68485,1.0,20080722.0,2008-07-22T16:30:00Z,18.8,NaN,NaN,188.0,1.14,NaN,1.14,1.366,NaN,1.366,0.685,8.684,0.22,0.706,7.786,0.486,200.0,0.0,NaN,NaN,50.0,1200.0,0.0,200.0,3500.0,600.0,900.0,2000.0,600.0,0.0,NaN,NaN,NaN,9000.0
SW,34.408043,-119.68485,1.0,20080728.0,2008-07-28T17:00:00Z,19.4,NaN,NaN,188.0,2.762,NaN,2.762,0.942,NaN,0.942,0.553,8.233,0.212,0.887,3.516,0.676,200.0,0.0,NaN,NaN,50.0,4000.0,250.0,150.0,1000.0,4200.0,0.0,900.0,550.0,0.0,NaN,NaN,NaN,11050.0
SW,34.408043,-119.68485,1.0,20080805.0,2008-08-05T16:20:00Z,19.4,NaN,NaN,188.0,1.238,NaN,1.238,0.582,NaN,0.582,0.261,5.44,0.0,0.498,1.442,0.498,200.0,0.0,NaN,NaN,50.0,500.0,0.0,700.0,18000.0,5000.0,2300.0,2700.0,1000.0,0.0,NaN,NaN,NaN,30200.0
SW,34.408043,-119.68485,1.0,20080811.0,2008-08-11T16:45:00Z,18.4,NaN,NaN,188.0,2.212,NaN,2.212,0.46,NaN,0.46,0.483,4.565,0.114,0.487,1.527,0.372,200.0,0.1,NaN,NaN,50.0,0.0,0.0,400.0,65400.0,5000.0,0.0,540.0,400.0,0.0,NaN,NaN,NaN,71740.0
SW,34.408043,-119.68485,1.0,20080818.0,2008-08-18T16:40:00Z,18.9,NaN,NaN,188.0,1.635,NaN,1.635,0.82,NaN,0.82,0.505,6.755,0.153,0.52,1.113,0.367,200.0,0.0,NaN,NaN,50.0,150.0,0.0,600.0,18500.0,7000.0,0.0,0.0,2500.0,0.0,NaN,NaN,NaN,28750.0
SW,34.408043,-119.68485,1.0,20080825.0,2008-08-25T17:00:00Z,19.6,NaN,NaN,188.0,0.915,NaN,0.915,0.644,NaN,0.644,0.569,8.279,0.15,0.659,3.221,0.509,200.0,0.0,NaN,NaN,50.0,300.0,0.0,150.0,9000.0,3500.0,200.0,1200.0,350.0,0.0,NaN,NaN,NaN,14700.0
SW,34.408043,-119.68485,1.0,20080902.0,2008-09-02T16:45:00Z,21.0,NaN,NaN,188.0,2.399,NaN,2.399,0.719,NaN,0.719,0.246,4.473,0.0,0.501,2.117,0.501,200.0,0.0,NaN,NaN,50.0,350.0,0.0,2000.0,2900.0,16900.0,3300.0,3500.0,4500.0,0.0,NaN,NaN,NaN,33450.0
SW,34.408043,-119.68485,1.0,20080908.0,2008-09-08T16:45:00Z,17.8,NaN,NaN,188.0,5.47,NaN,5.47,1.563,NaN,1.563,0.6,7.639,0.151,0.647,2.454,0.496,200.0,0.0,NaN,NaN,50.0,0.0,0.0,700.0,43400.0,24200.0,150.0,300.0,8500.0,0.0,NaN,NaN,NaN,77250.0
