Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
HAB_MWII,36.603683,-121.889275,5.0,10314,2010-11-10T17:30:00Z,13.65,NaN,NaN,25.0,NaN,NaN,9.511,NaN,NaN,NaN,1.27,10.18,NaN,3.41,NaN,NaN,50.0,0.0037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,162.0,19754.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_MWII,36.603683,-121.889275,5.0,10321,2010-11-17T17:30:00Z,12.25,NaN,NaN,25.0,NaN,NaN,12.342,NaN,NaN,NaN,1.27,15.08,NaN,10.16,NaN,NaN,50.0,0.0031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2640.0,10156.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_MWII,36.603683,-121.889275,5.0,10328,2010-11-24T17:30:00Z,10.6,NaN,NaN,25.0,NaN,NaN,7.592,NaN,NaN,NaN,1.03,8.88,NaN,6.67,NaN,NaN,50.0,0.0113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10697.0,37275.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_MWII,36.603683,-121.889275,5.0,10335,2010-12-01T17:30:00Z,10.25,NaN,NaN,25.0,NaN,NaN,7.346,NaN,NaN,NaN,1.29,13.54,NaN,9.23,NaN,NaN,50.0,0.0101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2846.0,12218.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_MWII,36.603683,-121.889275,5.0,10342,2010-12-08T17:30:00Z,11.8,NaN,NaN,25.0,NaN,NaN,18.332,NaN,NaN,NaN,0.72,6.22,NaN,6.0,NaN,NaN,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31641.0,58923.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_MWII,36.603683,-121.889275,5.0,10349,2010-12-15T17:30:00Z,11.95,NaN,NaN,25.0,NaN,NaN,10.475,NaN,NaN,NaN,1.04,10.04,NaN,7.31,NaN,NaN,50.0,0.0059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1474.0,5899.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_MWII,36.603683,-121.889275,5.0,10356,2010-12-22T17:30:00Z,11.95,NaN,NaN,25.0,NaN,NaN,6.236,NaN,NaN,NaN,0.76,6.04,NaN,4.46,NaN,NaN,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,205.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_MWII,36.603683,-121.889275,5.0,10363,2010-12-29T17:30:00Z,12.2,NaN,NaN,25.0,NaN,NaN,11.244,NaN,NaN,NaN,0.81,6.68,NaN,4.94,NaN,NaN,50.0,4.0E-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
HAB_MWII,36.603683,-121.889275,5.0,11005,2011-01-05T17:30:00Z,11.4,NaN,NaN,25.0,NaN,NaN,6.846,NaN,NaN,NaN,1.09,11.72,NaN,10.55,NaN,NaN,50.0,0.0013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
